"","type2","Class_mean","Bark(%)_mean","Waterpercentage_mean","T3_mean","Soil_moist_mean","RespCorrectedArea_mean","Class_sd","Bark(%)_sd","Waterpercentage_sd","T3_sd","Soil_moist_sd","RespCorrectedArea_sd","Class_n","Bark(%)_n","Waterpercentage_n","T3_n","Soil_moist_n","RespCorrectedArea_n","species","Diameter","Class","Month"
"1","AA_1_1_10",NA,99.5294117647059,25.1903365999682,283.089338235294,2422.79411764706,1.10773657861719e-05,0,0.843344500500278,5.8844013265919,0.384810219273602,320.850081050019,8.81283037573567e-06,34,34,34,34,34,34,"AA","1","1","10"
"2","AA_1_1_12",NA,99.78125,25.4101341309478,273.6890625,2551.875,1.0745709063726e-05,0,0.546770823410808,5.94642199104029,1.40865535026611,370.788686450922,7.63424196352167e-06,16,16,16,16,16,16,"AA","1","1","12"
"3","AA_1_1_7",NA,99.5232558139535,27.4788701009208,295.395639534884,542.46511627907,4.7839269298596e-05,0,0.899427651158099,6.94057931442244,0.321997159215164,89.2373370601196,2.57620962892382e-05,43,43,43,43,43,43,"AA","1","1","7"
"4","AA_1_2_10",NA,97.1481481481482,27.546297547085,283.018055555556,2335.2962962963,1.03273593872947e-05,0,2.26093417901171,8.91786283738604,0.386961992104306,352.997146950207,7.67796427772567e-06,27,27,27,27,27,27,"AA","1","2","10"
"5","AA_1_2_12",NA,97.5384615384615,25.6641294957789,273.611538461538,2453.84615384615,8.15017673911053e-06,0,2.10615703020868,9.90034357891454,1.40069236542651,405.900202462347,6.90466465474612e-06,13,13,13,13,13,13,"AA","1","2","12"
"6","AA_1_2_7",NA,97.4583333333333,35.82556039036,295.323611111111,540.777777777778,1.86620489522262e-05,0,2.57841313324965,16.5296534655773,0.331093666313652,89.3619001943737,1.98602656572105e-05,36,36,36,36,36,36,"AA","1","2","7"
"7","AA_1_4_10",NA,94.2352941176471,33.2980616684655,283.021323529412,2353.67647058824,1.58836731067198e-05,0,6.51715137403494,14.5340745038428,0.349492725080416,339.620529824207,1.21172423838652e-05,34,34,34,34,34,34,"AA","1","4","10"
"8","AA_1_4_12",NA,93.5789473684211,32.9120329200472,274.084210526316,2496.42105263158,1.641574656536e-05,0,7.00448895331244,14.2301116998753,1.50368091247768,364.930026137352,1.6716281475286e-05,19,19,19,19,19,19,"AA","1","4","12"
"9","AA_1_4_7",NA,93.0131578947368,32.8006799974507,295.342434210526,544.921052631579,1.38845365778976e-05,0,7.33971687548187,12.2723549477191,0.332749848641561,93.8401117424473,1.73716763733885e-05,38,38,38,38,38,38,"AA","1","4","7"
"10","AA_10_1_10",NA,97,45.3755647368254,283.01170212766,2366,4.70890340054109e-05,0,2.71869533928061,17.404868454563,0.366510834699189,313.715393033378,2.16437178152243e-05,47,47,47,47,47,47,"AA","10","1","10"
"11","AA_10_1_12",NA,96.6363636363636,46.3573520871907,274.428409090909,2531.31818181818,3.20523317232556e-05,0,3.06354066160079,19.9841648363771,1.73062480897427,311.952588944086,1.55317126337841e-05,22,22,22,22,22,22,"AA","10","1","12"
"12","AA_10_1_7",NA,97.4,39.8238737830027,295.097916666667,527.933333333333,0.000107628760402275,0,2.06113460551924,8.62354073496961,0.263167937837699,73.3009541892701,5.03949192526211e-05,30,30,30,30,30,30,"AA","10","1","7"
"13","AA_10_2_10",NA,97.7608695652174,30.6057958831629,282.989673913043,2361.65217391304,3.42383168457387e-05,0,2.01312120967192,17.157715119722,0.36530337799015,319.825870497703,2.36657329235065e-05,46,46,46,46,46,46,"AA","10","2","10"
"14","AA_10_2_12",NA,97.6315789473684,29.75303092694,274.43947368421,2556.68421052632,2.29803322699883e-05,0,2.11372568166022,16.0101873237306,2.03135261774078,322.552330402298,9.99609116685497e-06,19,19,19,19,19,19,"AA","10","2","12"
"15","AA_10_2_7",NA,98.1666666666667,36.7989590008439,295.079166666667,543.733333333333,0.000127157046607344,0,1.44038628279992,22.7322968667339,0.241634460794975,66.1043758441688,0.000106090215190683,30,30,30,30,30,30,"AA","10","2","7"
"16","AA_10_4_10",NA,90.3571428571429,45.0312751312083,283.019047619048,2393.30952380952,6.31033586232065e-05,0,6.0559240440972,8.95202093554979,0.378240451486266,304.557374793701,5.4392983615516e-05,42,42,42,42,42,42,"AA","10","4","10"
"17","AA_10_4_12",NA,90.7222222222222,45.3640062650918,273.948611111111,2604.16666666667,3.76597732134252e-05,0,4.99182337964744,11.8272246120632,1.51365651511551,338.049465576372,1.83365196697308e-05,18,18,18,18,18,18,"AA","10","4","12"
"18","AA_10_4_7",NA,91.0322580645161,44.6865831761146,295.220564516129,541.451612903226,0.000207696218941615,0,4.22282583876202,7.94131620766362,0.289909259997431,69.7733658400192,7.75459130154873e-05,31,31,31,31,31,31,"AA","10","4","7"
"19","AA_25_1_10",NA,96.9666666666667,39.6192249175022,283.066666666667,2413.96666666667,0.0023410923626735,0,3.22151531418682,6.45047892025053,0.371148806789957,317.286065131195,0.00547812874415533,30,30,30,30,30,30,"AA","25","1","10"
"20","AA_25_1_12",NA,96.8484848484848,38.8618650307125,273.990909090909,2517.45454545455,0.00103842822517119,0,3.8577941569731,6.3267077760016,1.52982163203828,352.933518076448,0.00149139040210441,33,33,33,33,33,33,"AA","25","1","12"
"21","AA_25_1_7",NA,96.7380952380952,40.4424829915727,295.388095238095,552.97619047619,0.00417691158416139,0,3.96361207406014,6.24722718870466,0.31756207839619,93.7959612462561,0.00531140893154352,42,42,42,42,42,42,"AA","25","1","7"
"22","AA_25_2_10",NA,96.6969696969697,38.7102895400094,283.053409090909,2407.06060606061,0.00121930705426841,0,1.66742407032615,2.08798393241092,0.36345876344817,317.6150322515,0.0023606134710748,33,33,33,33,33,33,"AA","25","2","10"
"23","AA_25_2_12",NA,96.6,38.4678691884342,274.266666666667,2460.06666666667,0.0013942276528652,0,1.90462232657725,2.28795308101212,1.49880819511608,366.20796177086,0.00167821076636643,30,30,30,30,30,30,"AA","25","2","12"
"24","AA_25_2_7",NA,96.7727272727273,38.7062104182825,295.391477272727,546.977272727273,0.0033628684549893,0,1.8535150310698,2.18494755970165,0.309899326386352,89.3713154742522,0.00380000477515851,44,44,44,44,44,44,"AA","25","2","7"
"25","AA_25_4_10",NA,76,51.6819882930875,283.034191176471,2387.55882352941,0.00149421496157682,0,15.7595569850055,8.56301888285728,0.39532433969609,313.895484553086,0.00214326340228936,34,34,34,34,34,34,"AA","25","4","10"
"26","AA_25_4_12",NA,77.969696969697,51.2121543659665,274.131060606061,2465.09090909091,0.00111849415875857,0,14.3907193367914,9.17921477303544,1.56300654667923,377.736545395429,0.00127735648223975,33,33,33,33,33,33,"AA","25","4","12"
"27","AA_25_4_7",NA,78.8139534883721,51.8652763430639,295.360755813953,538.976744186047,0.00340191026562397,0,14.3680462501136,9.62873130506972,0.301910846429179,83.2476192629964,0.00301045213515148,43,43,43,43,43,43,"AA","25","4","7"
"28","FS_1_1_10",NA,98.8289473684211,30.1990258363779,283.018421052632,2404.76315789474,1.87989776316909e-05,0,1.4297812901614,3.75175624755426,0.362048143847924,325.961151242733,1.18538961791866e-05,38,38,38,38,38,38,"FS","1","1","10"
"29","FS_1_1_12",NA,98.6111111111111,29.3890669960305,273.483333333333,2548.77777777778,1.77384645075046e-05,0,1.67644192155287,3.73232791733069,1.4460265028895,368.943093899246,1.8452805955921e-05,18,18,18,18,18,18,"FS","1","1","12"
"30","FS_1_1_7",NA,98.8690476190476,30.7706726168171,295.392559523809,534.404761904762,5.3250416308217e-05,0,1.45694101446433,5.13154205510641,0.298689458655579,93.8844800088241,4.63915727790614e-05,42,42,42,42,42,42,"FS","1","1","7"
"31","FS_1_2_10",NA,97.5571428571429,37.1582319977965,283.007142857143,2327.82857142857,2.31835250204685e-05,0,2.5661009234985,16.4216005924227,0.349491301992006,347.008093287063,1.50364929057328e-05,35,35,35,35,35,35,"FS","1","2","10"
"32","FS_1_2_12",NA,98.1666666666667,32.8809743062854,273.908333333333,2517.6,1.26578092666562e-05,0,2.24933852710609,14.9236070212133,1.39251560220378,396.575843944131,1.00311869406225e-05,15,15,15,15,15,15,"FS","1","2","12"
"33","FS_1_2_7",NA,97.2236842105263,36.1057539135294,295.334210526316,551.368421052632,0.000145724654555044,0,2.80370741143457,12.9942831651915,0.330382714839291,89.8994696952857,9.93727704897813e-05,38,38,38,38,38,38,"FS","1","2","7"
"34","FS_1_4_10",NA,52.1714285714286,31.089459700361,283.005357142857,2332.4,1.61388505849098e-05,0,20.7782206596598,12.3354875620486,0.339215218240152,330.445706139272,1.44618399933258e-05,35,35,35,35,35,35,"FS","1","4","10"
"35","FS_1_4_12",NA,57.8235294117647,30.3086586875286,273.929411764706,2490.17647058824,2.22830561328571e-05,0,12.7339864836078,16.54121728191,1.50473173725516,368.554649152286,1.31453591727987e-05,17,17,17,17,17,17,"FS","1","4","12"
"36","FS_1_4_7",NA,49.3625,31.3709004760817,295.3359375,545.55,1.30457699465115e-05,0,17.7446226957742,12.2730540588383,0.319782922915627,91.3275171271802,1.97856250702984e-05,40,40,40,40,40,40,"FS","1","4","7"
"37","FS_10_1_10",NA,96.7727272727273,38.1450280290722,282.990909090909,2345.40909090909,0.000115818834822517,0,4.11951473978816,2.47509123535534,0.362548750093699,333.123017865341,6.0490502180014e-05,44,44,44,44,44,44,"FS","10","1","10"
"38","FS_10_1_12",NA,96.8095238095238,38.1730430872019,274.298809523809,2532.42857142857,6.32874990368001e-05,0,4.37743129722269,2.4050444393133,1.58699256044405,319.508148789443,3.19536722319991e-05,21,21,21,21,21,21,"FS","10","1","12"
"39","FS_10_1_7",NA,96.7959183673469,37.7453180526777,295.328571428571,541.163265306122,0.000400556449967043,0,4.11288418588837,2.50573088779245,0.32700702400713,84.9289769304269,0.000178118312003761,49,49,49,49,49,49,"FS","10","1","7"
"40","FS_10_2_10",NA,98.1818181818182,30.4699293283996,283.019318181818,2361.90909090909,0.000129866175593258,0,1.82071704853459,4.36985721003377,0.372037274497089,327.079097053583,8.0501840735033e-05,44,44,44,44,44,44,"FS","10","2","10"
"41","FS_10_2_12",NA,98.2272727272727,30.6665902637628,273.755113636364,2508.63636363636,8.08511469279852e-05,0,1.9255628288353,4.76291710422968,1.46947947483048,351.762845631968,5.70028610262526e-05,22,22,22,22,22,22,"FS","10","2","12"
"42","FS_10_2_7",NA,98.2830188679245,30.1948711114702,295.32570754717,537.150943396226,0.000641163384677553,0,1.75824823759951,4.511720957064,0.314191719917985,83.408724001015,0.00034142568085319,53,53,53,53,53,53,"FS","10","2","7"
"43","FS_10_4_10",NA,74.625,56.8525091321106,283.0359375,2398.175,7.76192266995307e-05,0,11.9629502835705,11.208717048131,0.384205260103276,318.842368215441,6.12189584140599e-05,40,40,40,40,40,40,"FS","10","4","10"
"44","FS_10_4_12",NA,75.3529411764706,57.5742675036559,273.756617647059,2560.70588235294,4.10198639712321e-05,0,9.06877318377869,13.1177171530811,1.66004351909645,347.612529389024,2.71416996152809e-05,17,17,17,17,17,17,"FS","10","4","12"
"45","FS_10_4_7",NA,78.0294117647059,55.1736065616856,295.247426470588,534.470588235294,0.000424272767622687,0,8.62514047006437,11.2447552549789,0.325011354868144,74.8510582885521,0.000230054068485723,34,34,34,34,34,34,"FS","10","4","7"
"46","FS_25_1_10",NA,97.8333333333333,38.1644766656223,283.0625,2406.86666666667,0.00125314975613271,0,3.20649484568466,2.9812890570636,0.366130747326595,322.803103575788,0.00165808135769637,30,30,30,30,30,30,"FS","25","1","10"
"47","FS_25_1_12",NA,98.1034482758621,38.9937755592682,274.048706896552,2494.37931034483,0.0015234457716317,0,3.14352881313577,3.04240388413036,1.57090718511198,388.469102815609,0.00157385517439052,29,29,29,29,29,29,"FS","25","1","12"
"48","FS_25_1_7",NA,97.8809523809524,38.8075128947898,295.349404761905,541.928571428571,0.0019515417261746,0,3.22492110663479,3.10343436523735,0.322917252069455,91.1823134479176,0.00225739432423704,42,42,42,42,42,42,"FS","25","1","7"
"49","FS_25_2_10",NA,90.2758620689655,35.3464820316454,283.137068965517,2422.72413793103,0.00143395400299244,0,10.1520460700721,2.05154654561504,0.396827299701239,307.915328870933,0.00140619731567191,29,29,29,29,29,29,"FS","25","2","10"
"50","FS_25_2_12",NA,90.6296296296296,35.7698142354914,273.846759259259,2482.74074074074,0.00121500763931484,0,9.25347397612273,2.13424547886875,1.41556250962682,388.397258228518,0.00191263039334036,27,27,27,27,27,27,"FS","25","2","12"
"51","FS_25_2_7",NA,90.4,35.6218615787038,295.376785714286,525.057142857143,0.00590812694452264,0,9.13042747533504,2.4562718118227,0.303580696843192,85.7492729714139,0.00252169707261611,35,35,35,35,35,35,"FS","25","2","7"
"52","FS_25_4_10",NA,56.2121212121212,58.2670085587604,283.091287878788,2405.0303030303,0.00163145658714935,0,19.2447356044412,11.6839079497292,0.374002381975683,316.203700647273,0.00236762844877832,33,33,33,33,33,33,"FS","25","4","10"
"53","FS_25_4_12",NA,53.9705882352941,58.1333631740669,274.015808823529,2485.91176470588,0.00140049515354242,0,22.3532050364387,11.3487573742059,1.60816839167433,353.511936076148,0.00226161309362771,34,34,34,34,34,34,"FS","25","4","12"
"54","FS_25_4_7",NA,53.0263157894737,59.3072672532194,295.393421052632,545.921052631579,0.00430899816826937,0,20.7800408944077,11.1030487107172,0.301246521260968,85.7716583881051,0.00321717690145987,38,38,38,38,38,38,"FS","25","4","7"
