;ID;Collar and code;Tree_code;Plot_N;;Species;Class;;;slope;rsq;Day;Hour;Min;Sample_code1;Sample_code2
1;1_134_9_21;134;134;1;;;;;;0.267960213;0.995517497;0;0;0;0;0
2;2_134_9_21;134;134;2;;;;;;-0.000339455;0.000155788;21;12;4;134;0
3;3_135_9_21;135;135;3;;;;;;0.146256781;0.852087625;21;12;6;135;0
4;4_136_9_21;136;136;4;;;;;;-0.13590434;0.769920238;21;12;8;136;0
5;5_137_9_21;137;137;5;;;;;;-0.011109763;0.136391839;21;12;10;137;0
6;6_139_9_21;139;139;6;;;;;;-0.019218578;0.311329012;21;12;12;139;0
7;7_138_9_21;138;138;7;;;;;;0.025423326;0.011992035;21;12;16;138;0
8;8_138_9_21;138;138;8;;;;;;0.007606041;0.004763667;21;12;19;138;0
10;9_121_9_21;121;121;9;;;;;;0.595588235;0.977891494;21;12;59;121;0
11;10_122_9_21;122;122;10;;;;;;-0.011878108;0.295555287;21;13;1;122;0
12;11_122_9_21;122;122;11;;;;;;-0.399136126;0.981085463;21;13;3;122;0
13;12_123_9_21;123;123;12;;;;;;0.753846154;0.96073818;21;13;5;123;0
14;13_123_9_21;123;123;13;;;;;;-0.262092114;0.716713661;21;13;6;123;0
15;14_123_9_21;123;123;14;;;;;;-0.013333163;0.067702609;21;13;9;123;0
16;15_124_9_21;124;124;15;;;;;;1.423076923;0.961762344;21;13;11;124;0
17;16_125_9_21;125;125;16;;;;;;0.082904746;0.659213903;21;13;14;125;0
18;17_126_9_21;126;126;17;;;;;;0.186167936;0.933224597;21;13;16;126;0
19;18_378_9_21;378;378;18;;;;;;0.049091053;0.902123787;21;14;14;378;0
20;19_380_9_21;380;380;19;;;;;;0.084524039;0.802168481;21;14;16;380;0
21;20_381_9_21;381;381;20;;;;;;0.030647139;0.482778285;21;14;25;381;0
22;21_381_9_21;381;381;21;;;;;;0.021480073;0.738465255;21;14;27;381;0
23;22_382_9_21;382;382;22;;;;;;0.350641403;0.942628545;21;14;29;382;0
24;23_383_9_21;383;383;23;;;;;;0.431465039;0.991048976;21;14;33;383;0
25;24_379_9_21;379;379;24;;;;;;0.120444789;0.977856947;21;14;35;379;0
26;25_29_9_21;29AA-C3;29;25;;AA;3;;;0.231378877;0.983218211;21;14;40;29;0
27;26_30_9_21;30AA-C3;30;26;;AA;3;;;0.209421913;0.900986689;21;14;42;30;0
28;27_32_9_21;32AA-C3;32;27;;AA;3;;;0.957916363;0.956518633;21;14;46;32;0
29;28_31_9_21;31AA-C3;31;28;;AA;3;;;0.304321445;0.889926181;21;14;50;31;0
30;29_31_9_21;31AA-C3;31;29;;AA;3;;;1.009618657;0.998242494;21;14;52;31;0
31;30_26_9_21;26AA-C4;26;30;;AA;4;;;0.210512883;0.862599984;21;14;54;26;0
32;31_26_9_21;26AA-C4;26;31;;AA;4;;;0.542062381;0.969749638;21;14;57;26;0
33;32_27_9_21;27AA-C4;27;32;;AA;4;;;0.272222222;0.984252613;21;15;1;27;0
35;34_25_9_21;25AA-C4;25;34;;AA;4;;;-0.063310698;0.31025264;21;15;7;25;0
36;35_24_9_21;24FS-C3;24;35;;FS;3;;;0.457151585;0.980652218;21;15;13;24;0
37;36_23_9_21;23FS-C3;23;36;;FS;3;;;-0.522369052;0.85520766;21;15;16;23;0
38;37_22_9_21;22FS-C3;22;37;;FS;3;;;-0.736915533;0.932743275;21;15;19;22;0
39;38_21_9_21;21FS-C3;21;38;;FS;3;;;-0.215576054;0.13834009;21;15;21;21;0
40;39_2_9_21;2AA-C5;2;39;;AA;5;;;-0.618906586;0.64652252;21;15;25;2;0
41;40_1_9_21;1AA-C5;1;40;;AA;5;;;-0.189776081;0.918672521;21;15;27;1;0
42;41_4_9_21;4AA-C5;4;41;;AA;5;;;0.100127401;0.973231288;21;15;30;4;0
43;42_3_9_21;3AA-C5;3;42;;AA;5;;;0.733502884;0.925067034;21;15;32;3;0
44;43_345_9_21;345;345;43;;;;;;-0.006615536;0.033026712;21;15;34;345;0
45;44_335_9_21;335;335;44;;;;;;0.114998532;0.901410681;21;15;36;335;0
46;45_6_9_21;6AA-C6;6;45;;AA;6;;;0.154820937;0.887604223;21;15;39;6;0
47;46_6_9_21;6AA-C6;6;46;;AA;6;;;0.145543159;0.91147338;21;15;41;6;0
48;47_5_9_21;5AA-C6;5;47;;AA;6;;;0.214149081;0.990884884;21;15;44;5;0
49;48_18_9_21;18-FS-C4;18;48;;FS;4;;;0.15111367;0.994655696;21;15;51;18;0
50;49_17_9_21;17FS-C4;17;49;;FS;4;;;0.151157443;0.97112803;21;15;55;17;0
51;50_19_9_21;19FS-C4;19;50;;FS;4;;;0.22723653;0.917565561;21;15;59;19;0
52;51_20_9_21;20FS-C4;20;51;;FS;4;;;0.15881812;0.976210139;21;16;2;20;0
53;52_10_9_21;10FS-C5;10;52;;FS;5;;;4.031476418;0.922156232;21;16;5;10;0
54;53_9_9_21;9FS-C5;9;53;;FS;5;;;0.325617659;0.996126696;21;16;11;9;0
55;54_405_9_21;405;405;54;;;;;;0.120953262;0.918779709;21;16;14;405;0
56;55_375_9_21;375;375;55;;;;;;0.175327976;0.80728146;21;16;16;375;0
57;56_14_9_21;14FS-C6;14;56;;FS;6;;;0.312675563;0.989256636;21;16;19;14;0
58;57_13_9_21;13FS-C6;13;57;;FS;6;;;0.651374183;0.990520945;21;16;24;13;0
59;58_15_9_21;15FS-C6;15;58;;FS;6;;;0.329653417;0.992374182;21;16;27;15;0
60;59_385_9_21;385;385;59;;;;;;0.32311439;0.950419223;21;16;29;385;0
61;60_395_9_21;395;395;60;;;;;;0.276517701;0.931527;21;16;33;395;0
62;61_16_9_21;16FS-C6;16;61;;FS;6;;;0.228896705;0.987820167;21;16;38;16;0
63;62_11_9_21;11FS-C5;11;62;;FS;5;;;0.217424432;0.908689031;21;16;40;11;0
64;63_12_9_21;12FS-C5;12;63;;FS;5;;;0.153514402;0.991098016;21;16;43;12;0
65;64_355_9_21;355;355;64;;;;;;0.172844005;0.980385696;21;16;47;355;0
66;65_365_9_21;365;365;65;;;;;;1.079220779;0.962463298;21;16;48;365;0
67;66_7_9_21;7AA-C6;7;66;;AA;6;;;0.339075283;0.95675364;21;16;52;7;0
68;67_8_9_21;8AA-C6;8;67;;AA;6;;;0.322352634;0.956950321;21;16;54;8;0
