;type2;Class_mean;Bark(%)_mean;Waterpercentage_mean;T3_mean;Soil_moist_mean;RespCorrectedArea_mean;Class_sd;Bark(%)_sd;Waterpercentage_sd;T3_sd;Soil_moist_sd;RespCorrectedArea_sd;Class_n;Bark(%)_n;Waterpercentage_n;T3_n;Soil_moist_n;RespCorrectedArea_n;species;Diameter;Class;Month
1;AA_1_1_10;1;99.52941176;25.1903366;5.845588235;2337.147059;0.000556298;0;0.843344501;5.884401327;1.025276581;286.321935;0.000440037;34;34;34;34;34;34;AA;1;1;10
2;AA_1_1_7;1;99.52325581;27.4788701;21.28488372;2230.186047;0.000663183;0;0.899427651;6.940579314;1.31958845;390.0910306;0.000345658;43;43;43;43;43;43;AA;1;1;7
3;AA_1_2_10;2;97.14814815;27.54629755;5.481481481;2267.407407;0.000573434;0;2.260934179;8.917862837;0.884361802;349.6792222;0.000463871;27;27;27;27;27;27;AA;1;2;10
4;AA_1_2_7;2;97.45833333;35.82556039;21.39756944;2251.472222;0.000258898;0;2.578413133;16.52965347;1.254469934;345.6615592;0.000276224;36;36;36;36;36;36;AA;1;2;7
5;AA_1_4_10;4;94.23529412;33.29806167;5.599264706;2271.529412;0.000798813;0;6.517151374;14.5340745;0.879199561;319.8965018;0.000575338;34;34;34;34;34;34;AA;1;4;10
6;AA_1_4_7;4;93.01315789;32.80068;21.39802632;2249.289474;0.000188669;0;7.339716875;12.27235495;1.171380734;327.2069275;0.000233505;38;38;38;38;38;38;AA;1;4;7
7;AA_10_1_10;1;97;45.37556474;5.388297872;2287.12766;0.002728163;0;2.718695339;17.40486845;1.763001787;290.5003642;0.001425881;47;47;47;47;47;47;AA;10;1;10
8;AA_10_1_7;1;97.4;39.82387378;21.25625;2398.433333;0.002667485;0;2.061134606;8.623540735;1.037984152;251.7766776;0.001246362;30;30;30;30;30;30;AA;10;1;7
9;AA_10_2_10;2;97.76086957;30.60579588;5.164402174;2278.543478;0.002040446;0;2.01312121;17.15771512;1.689446341;296.1633713;0.001446597;46;46;46;46;46;46;AA;10;2;10
10;AA_10_2_7;2;98.16666667;36.798959;21.09791667;2200.433333;0.003003415;0;1.440386283;22.73229687;0.980917516;276.4133191;0.00241252;30;30;30;30;30;30;AA;10;2;7
11;AA_10_4_10;4;90.35714286;45.03127513;5.958333333;2301.928571;0.003386045;0;6.055924044;8.952020936;1.686718804;284.2253823;0.003441056;42;42;42;42;42;42;AA;10;4;10
12;AA_10_4_7;4;91.03225806;44.68658318;21.16935484;2208.387097;0.004982884;0;4.222825839;7.941316208;1.322107057;386.5055996;0.00222316;31;31;31;31;31;31;AA;10;4;7
13;AA_25_1_10;1;96.90322581;39.54933589;5.776209677;2329.806452;0.104390831;0;3.187003177;6.353986238;1.964646795;290.9169892;0.231571187;31;31;31;31;31;31;AA;25;1;10
14;AA_25_1_7;1;96.73809524;40.44248299;21.6235119;2241.309524;0.05658482;0;3.963612074;6.247227189;1.165226616;375.8898053;0.072135732;42;42;42;42;42;42;AA;25;1;7
15;AA_25_2_10;2;96.79411765;38.73448338;5.21875;2328.558824;0.056721898;0;1.736932367;2.060938405;1.064364451;293.6644334;0.098751021;34;34;34;34;34;34;AA;25;2;10
16;AA_25_2_7;2;96.77272727;38.70621042;21.49857955;2238.227273;0.046198624;0;1.853515031;2.18494756;1.242308358;380.7951817;0.05305686;44;44;44;44;44;44;AA;25;2;7
17;AA_25_4_10;4;76.4;51.64576093;5.535714286;2308.714286;0.069760122;0;15.70537563;8.438874387;1.825654956;286.495824;0.094277333;35;35;35;35;35;35;AA;25;4;10
18;AA_25_4_7;4;78.81395349;51.86527634;21.5872093;2270.186047;0.046761834;0;14.36804625;9.628731305;1.05389897;391.5513258;0.04215233;43;43;43;43;43;43;AA;25;4;7
19;FS_1_1_10;1;98.82894737;30.19902584;5.738486842;2323.447368;0.000945022;0;1.42978129;3.751756248;0.780469916;309.7578564;0.000595466;38;38;38;38;38;38;FS;1;1;10
20;FS_1_1_7;1;98.86904762;30.77067262;21.28720238;2295.238095;0.000743905;0;1.456941014;5.131542055;1.160685668;335.147642;0.000652099;42;42;42;42;42;42;FS;1;1;7
21;FS_1_2_10;2;97.55714286;37.158232;6.008928571;2238.828571;0.001160081;0;2.566100923;16.42160059;1.231587075;315.2814322;0.000801943;35;35;35;35;35;35;FS;1;2;10
22;FS_1_2_7;2;97.22368421;36.10575391;21.14802632;2245.263158;0.002042646;0;2.803707411;12.99428317;1.176955411;348.6661599;0.001404618;38;38;38;38;38;38;FS;1;2;7
23;FS_1_4_10;4;52.17142857;31.0894597;5.760714286;2240.971429;0.000872596;0;20.77822066;12.33548756;0.974099994;305.3173359;0.000843297;35;35;35;35;35;35;FS;1;4;10
24;FS_1_4_7;4;49.3625;31.37090048;21.21875;2203.05;0.000183156;0;17.7446227;12.27305406;1.235816973;312.8817217;0.000280372;40;40;40;40;40;40;FS;1;4;7
25;FS_10_1_10;1;90.59574468;38.08962297;5.513297872;2262.893617;0.006884454;0;24.24123291;2.402613412;2.080493651;299.8005304;0.00469438;47;47;47;47;47;47;FS;10;1;10
26;FS_10_1_7;1;91.21153846;37.71830059;21.29927885;2189.865385;0.009553755;0;23.13586176;2.433415072;1.307227771;367.3932033;0.004073587;52;52;52;52;52;52;FS;10;1;7
27;FS_10_2_10;2;91.91489362;30.3767847;5.511968085;2279.510638;0.007382083;0;24.32374916;4.240317973;1.811592647;294.6571975;0.005216511;47;47;47;47;47;47;FS;10;2;10
28;FS_10_2_7;2;93.01785714;30.13143142;21.32254464;2230.857143;0.014957917;0;22.39601513;4.395192037;1.242464604;383.5789087;0.008030384;56;56;56;56;56;56;FS;10;2;7
29;FS_10_4_10;4;69.41860465;59.62074057;5.415697674;2315.209302;0.00422069;0;22.42578507;14.87510856;1.716889346;284.8321609;0.003523696;43;43;43;43;43;43;FS;10;4;10
30;FS_10_4_7;4;71.7027027;58.52686764;21.24662162;2230.837838;0.009423673;0;23.11789214;15.71252515;1.232335776;378.1176708;0.005936524;37;37;37;37;37;37;FS;10;4;7
31;FS_25_1_10;1;97.83333333;38.16447667;5.872916667;2321.5;0.062393538;0;3.206494846;2.981289057;1.444602332;297.0458864;0.086963509;30;30;30;30;30;30;FS;25;1;10
32;FS_25_1_7;1;97.88095238;38.80751289;21.35565476;2237.071429;0.026538756;0;3.224921107;3.103434365;1.198758257;393.4049855;0.030133995;42;42;42;42;42;42;FS;25;1;7
33;FS_25_2_10;2;89.67741935;35.20676851;5.568548387;2356.774194;0.06500273;0;10.1304396;2.091711039;1.42671268;283.299454;0.067889273;31;31;31;31;31;31;FS;25;2;10
34;FS_25_2_7;2;90.4;35.62186158;21.41785714;2250.342857;0.081395071;0;9.130427475;2.456271812;1.128239966;412.8225614;0.034626429;35;35;35;35;35;35;FS;25;2;7
35;FS_25_4_10;4;56.57142857;59.00284065;5.707142857;2345.257143;0.077509561;0;18.97255869;11.7342373;1.614058998;296.5986933;0.127278051;35;35;35;35;35;35;FS;25;4;10
36;FS_25_4_7;4;53.02631579;59.30726725;21.54440789;2270.763158;0.058241314;0;20.78004089;11.10304871;1.297241412;385.2602795;0.040652892;38;38;38;38;38;38;FS;25;4;7
