"","V1","V4","V5","V6","V7","V8","V9","V10","V11","V2"
"1",1,"27-7-21 0:00",4,14.75,17.125,19.75,2645,202,0,NA
"2",2,"27-7-21 0:15",4,14.75,17.125,19.8125,2645,202,0,NA
"3",3,"27-7-21 0:30",4,14.75,17.125,19.8125,2645,202,0,NA
"4",4,"27-7-21 0:45",4,14.6875,17.125,19.75,2645,202,0,NA
"5",5,"27-7-21 1:00",4,14.6875,17.125,19.75,2645,202,0,NA
"6",6,"27-7-21 1:15",4,14.6875,17.0625,19.625,2645,202,0,NA
"7",7,"27-7-21 1:30",4,14.6875,17.0625,19.75,2645,202,0,NA
"8",8,"27-7-21 1:45",4,14.6875,17.0625,19.75,2645,202,0,NA
"9",9,"27-7-21 2:00",4,14.6875,17.0625,19.75,2645,202,0,NA
"10",10,"27-7-21 2:15",4,14.6875,17.0625,19.6875,2645,202,0,NA
"11",11,"27-7-21 2:30",4,14.6875,17,19.5,2645,202,0,NA
"12",12,"27-7-21 2:45",4,14.6875,17.0625,19.75,2645,202,0,NA
"13",13,"27-7-21 3:00",4,14.6875,17.0625,19.75,2645,202,0,NA
"14",14,"27-7-21 3:15",4,14.6875,17.0625,19.75,2645,202,0,NA
"15",15,"27-7-21 3:30",4,14.6875,17.125,19.75,2645,202,0,NA
"16",16,"27-7-21 3:45",4,14.6875,17.0625,19.75,2645,202,0,NA
"17",17,"27-7-21 4:00",4,14.6875,17.125,19.75,2645,202,0,NA
"18",18,"27-7-21 4:15",4,14.6875,17.125,19.8125,2645,202,0,NA
"19",19,"27-7-21 4:30",4,14.6875,17.125,19.9375,2645,202,0,NA
"20",20,"27-7-21 4:45",4,14.6875,17.25,20,2645,202,0,NA
"21",21,"27-7-21 5:00",4,14.6875,17.25,20.25,2645,202,0,NA
"22",22,"27-7-21 5:15",4,14.6875,17.3125,20.3125,2645,202,0,NA
"23",23,"27-7-21 5:30",4,14.6875,17.375,20.1875,2645,202,0,NA
"24",24,"27-7-21 5:45",4,14.6875,17.375,20.375,2645,202,0,NA
"25",25,"27-7-21 6:00",4,14.6875,17.375,20.3125,2645,202,0,NA
"26",26,"27-7-21 6:15",4,14.6875,17.375,20.375,2645,202,0,NA
"27",27,"27-7-21 6:30",4,14.6875,17.5,20.5625,2645,202,0,NA
"28",28,"27-7-21 6:45",4,14.75,17.4375,20.375,2645,202,0,NA
"29",29,"27-7-21 7:00",4,14.75,17.4375,20.375,2645,202,0,NA
"30",30,"27-7-21 7:15",4,14.75,17.5,20.5,2645,202,0,NA
"31",31,"27-7-21 7:30",4,14.75,17.625,20.75,2645,202,0,NA
"32",32,"27-7-21 7:45",4,14.75,17.6875,20.875,2645,202,0,NA
"33",33,"27-7-21 8:00",4,14.75,17.75,21.0625,2645,202,0,NA
"34",34,"27-7-21 8:15",4,14.75,18,21.5,2645,202,0,NA
"35",35,"27-7-21 8:30",4,14.75,18.0625,21.8125,2645,202,0,NA
"36",36,"27-7-21 8:45",4,14.75,18.125,21.875,2645,202,0,NA
"37",37,"27-7-21 9:00",4,14.8125,18.0625,21.8125,2645,202,0,NA
"38",38,"27-7-21 9:15",4,14.875,18.125,21.875,2645,202,0,NA
"39",39,"27-7-21 9:30",4,14.875,18.1875,21.9375,2645,202,0,NA
"40",40,"27-7-21 9:45",4,14.875,18.25,21.75,2645,202,0,NA
"41",41,"27-7-21 10:00",4,14.875,18.25,22,2645,202,0,NA
"42",42,"27-7-21 10:15",4,14.875,18.375,22,2645,202,0,NA
"43",43,"27-7-21 10:30",4,14.9375,18.375,22.25,2645,202,0,NA
"44",44,"27-7-21 10:45",4,15,18.5,22.25,2645,202,0,NA
"45",45,"27-7-21 11:00",4,15,18.5625,22.5,2645,202,0,NA
"46",46,"27-7-21 11:15",4,15,18.875,22.875,2645,202,0,NA
"47",47,"27-7-21 11:30",4,15,18.875,22.8125,2645,202,0,NA
"48",48,"27-7-21 11:45",4,15.0625,18.875,22.75,2645,202,0,NA
"49",49,"27-7-21 12:00",4,15.125,18.875,22.875,2645,202,0,NA
"50",50,"27-7-21 12:15",4,15.125,18.875,22.625,2644,202,0,NA
"51",51,"27-7-21 12:30",4,15.125,18.75,22.375,2644,202,0,NA
"52",52,"27-7-21 12:45",4,15.1875,18.75,22.375,2644,202,0,NA
"53",53,"27-7-21 13:00",4,15.1875,18.875,22.5,2644,202,0,NA
"54",54,"27-7-21 13:15",4,15.25,18.8125,22.25,2645,202,0,NA
"55",55,"27-7-21 13:30",4,15.25,18.625,21.8125,2645,202,0,NA
"56",56,"27-7-21 13:45",4,15.25,18.625,21.75,2645,202,0,NA
"57",57,"27-7-21 14:00",4,15.25,18.625,21.875,2644,202,0,NA
"58",58,"27-7-21 14:15",4,15.25,18.625,21.8125,2644,202,0,NA
"59",59,"27-7-21 14:30",4,15.3125,18.625,21.75,2644,202,0,NA
"60",60,"27-7-21 14:45",4,15.3125,18.5625,21.75,2644,202,0,NA
"61",61,"27-7-21 15:00",4,15.375,18.625,21.75,2644,202,0,NA
"62",62,"27-7-21 15:15",4,15.375,18.625,21.75,2644,202,0,NA
"63",63,"27-7-21 15:30",4,15.375,18.625,21.625,2644,202,0,NA
"64",64,"27-7-21 15:45",4,15.375,18.5,21.375,2644,202,0,NA
"65",65,"27-7-21 16:00",4,15.375,18.4375,21.125,2644,202,0,NA
"66",66,"27-7-21 16:15",4,15.375,18.375,21.125,2644,202,0,NA
"67",67,"27-7-21 16:30",4,15.375,18.5,21.5,2644,202,0,NA
"68",68,"27-7-21 16:45",4,15.375,18.5625,21.75,2644,202,0,NA
"69",69,"27-7-21 17:00",4,15.4375,18.625,21.75,2644,202,0,NA
"70",70,"27-7-21 17:15",4,15.4375,18.5625,21.6875,2644,202,0,NA
"71",71,"27-7-21 17:30",4,15.4375,18.5,21.625,2644,202,0,NA
"72",72,"27-7-21 17:45",4,15.4375,18.5,21.5,2644,202,0,NA
"73",73,"27-7-21 18:00",4,15.4375,18.4375,21.375,2644,202,0,NA
"74",74,"27-7-21 18:15",4,15.5,18.5,21.5625,2644,202,0,NA
"75",75,"27-7-21 18:30",4,15.5,18.4375,21.5,2644,202,0,NA
"76",76,"27-7-21 18:45",4,15.5,18.375,21.25,2644,202,0,NA
"77",77,"27-7-21 19:00",4,15.5,18.375,21.3125,2644,202,0,NA
"78",78,"27-7-21 19:15",4,15.5,18.375,21.25,2644,202,0,NA
"79",79,"27-7-21 19:30",4,15.5,18.3125,21.25,2644,202,0,NA
"80",80,"27-7-21 19:45",4,15.5,18.375,21.25,2644,202,0,NA
"81",81,"27-7-21 20:00",4,15.5,18.3125,21.1875,2644,202,0,NA
"82",82,"27-7-21 20:15",4,15.5,18.25,21.0625,2644,202,0,NA
"83",83,"27-7-21 20:30",4,15.5,18.25,21.125,2644,202,0,NA
"84",84,"27-7-21 20:45",4,15.5,18.3125,21.1875,2644,202,0,NA
"85",85,"27-7-21 21:00",4,15.5,18.25,21,2644,202,0,NA
"86",86,"27-7-21 21:15",4,15.5,18.1875,20.75,2644,202,0,NA
"87",87,"27-7-21 21:30",4,15.5,18.125,20.75,2644,202,0,NA
"88",88,"27-7-21 21:45",4,15.5,18.125,20.75,2644,202,0,NA
"89",89,"27-7-21 22:00",4,15.5,18.125,20.75,2644,202,0,NA
"90",90,"27-7-21 22:15",4,15.5,18.125,20.75,2644,202,0,NA
"91",91,"27-7-21 22:30",4,15.5,18.125,20.75,2644,202,0,NA
"92",92,"27-7-21 22:45",4,15.5,18,20.625,2644,202,0,NA
"93",93,"27-7-21 23:00",4,15.5,18.0625,20.625,2644,202,0,NA
"94",94,"27-7-21 23:15",4,15.5,18,20.625,2644,202,0,NA
"95",95,"27-7-21 23:30",4,15.5,18,20.5625,2644,202,0,NA
"96",96,"27-7-21 23:45",4,15.5,18,20.5,2644,202,0,NA
"97",97,"28-7-21 0:00",4,15.5,18,20.5,2644,202,0,NA
"98",98,"28-7-21 0:15",4,15.5,18,20.5,2644,202,0,NA
"99",99,"28-7-21 0:30",4,15.5,17.875,20.375,2644,202,0,NA
"100",100,"28-7-21 0:45",4,15.4375,17.875,20.375,2644,202,0,NA
"101",101,"28-7-21 1:00",4,15.4375,17.875,20.25,2644,202,0,NA
"102",102,"28-7-21 1:15",4,15.4375,17.875,20.25,2644,202,0,NA
"103",103,"28-7-21 1:30",4,15.4375,17.8125,20.125,2644,202,0,NA
"104",104,"28-7-21 1:45",4,15.4375,17.75,20,2644,202,0,NA
"105",105,"28-7-21 2:00",4,15.4375,17.75,19.9375,2644,202,0,NA
"106",106,"28-7-21 2:15",4,15.4375,17.625,19.875,2644,202,0,NA
"107",107,"28-7-21 2:30",4,15.4375,17.625,19.75,2644,202,0,NA
"108",108,"28-7-21 2:45",4,15.4375,17.625,19.75,2644,202,0,NA
"109",109,"28-7-21 3:00",4,15.375,17.625,19.75,2644,202,0,NA
"110",110,"28-7-21 3:15",4,15.375,17.625,20,2644,202,0,NA
"111",111,"28-7-21 3:30",4,15.375,17.625,20.0625,2644,202,0,NA
"112",112,"28-7-21 3:45",4,15.375,17.75,20.1875,2644,202,0,NA
"113",113,"28-7-21 4:00",4,15.375,17.6875,20.0625,2644,202,0,NA
"114",114,"28-7-21 4:15",4,15.375,17.75,20.125,2644,202,0,NA
"115",115,"28-7-21 4:30",4,15.375,17.75,20.25,2644,202,0,NA
"116",116,"28-7-21 4:45",4,15.375,17.8125,20.375,2643,202,0,NA
"117",117,"28-7-21 5:00",4,15.375,17.875,20.5625,2643,202,0,NA
"118",118,"28-7-21 5:15",4,15.375,18,20.75,2643,202,0,NA
"119",119,"28-7-21 5:30",4,15.375,18,20.8125,2643,202,0,NA
"120",120,"28-7-21 5:45",4,15.375,18.125,21,2643,202,0,NA
"121",121,"28-7-21 6:00",4,15.375,18.125,21.0625,2643,202,0,NA
"122",122,"28-7-21 6:15",4,15.375,18.25,21.375,2643,202,0,NA
"123",123,"28-7-21 6:30",4,15.375,18.25,21.5,2643,202,0,NA
"124",124,"28-7-21 6:45",4,15.375,18.375,21.5625,2643,202,0,NA
"125",125,"28-7-21 7:00",4,15.4375,18.5,21.875,2643,202,0,NA
"126",126,"28-7-21 7:15",4,15.4375,18.5,21.75,2643,202,0,NA
"127",127,"28-7-21 7:30",4,15.4375,18.625,22,2643,202,0,NA
"128",128,"28-7-21 7:45",4,15.4375,18.6875,22.1875,2643,202,0,NA
"129",129,"28-7-21 8:00",4,15.5,18.6875,22.125,2643,202,0,NA
"130",130,"28-7-21 8:15",4,15.5,18.8125,22.4375,2643,202,0,NA
"131",131,"28-7-21 8:30",4,15.5,18.9375,22.75,2643,202,0,NA
"132",132,"28-7-21 8:45",4,15.5,19,22.75,2643,202,0,NA
"133",133,"28-7-21 9:00",4,15.5,19,22.875,2644,202,0,NA
"134",134,"28-7-21 9:15",4,15.5625,19.0625,22.9375,2644,202,0,NA
"135",135,"28-7-21 9:30",4,15.5625,19.125,22.875,2643,202,0,NA
"136",136,"28-7-21 9:45",4,15.625,19.125,22.75,2643,202,0,NA
"137",137,"28-7-21 10:00",4,15.625,19.25,23.0625,2644,202,0,NA
"138",138,"28-7-21 10:15",4,15.625,19.4375,23.4375,2644,202,0,NA
"139",139,"28-7-21 10:30",4,15.625,19.4375,23.25,2644,202,0,NA
"140",140,"28-7-21 10:45",4,15.6875,19.375,23.1875,2644,202,0,NA
"141",141,"28-7-21 11:00",4,15.6875,19.625,23.75,2644,202,0,NA
"142",142,"28-7-21 11:15",4,15.75,19.5,23.0625,2644,202,0,NA
"143",143,"28-7-21 11:30",4,15.75,19.3125,22.5,2644,202,0,NA
"144",144,"28-7-21 11:45",4,15.75,19.125,22.125,2644,202,0,NA
"145",145,"28-7-21 12:00",4,15.75,19.0625,22,2644,202,0,NA
"146",146,"28-7-21 12:15",4,15.8125,19,22,2643,202,0,NA
"147",147,"28-7-21 12:30",4,15.875,19.25,22.75,2643,202,0,NA
"148",148,"28-7-21 12:45",4,15.875,19.25,22.8125,2644,202,0,NA
"149",149,"28-7-21 13:00",4,15.875,19.25,22.625,2643,202,0,NA
"150",150,"28-7-21 13:15",4,15.875,19.125,22.25,2643,202,0,NA
"151",151,"28-7-21 13:30",4,15.875,19,22.0625,2643,202,0,NA
"152",152,"28-7-21 13:45",4,15.875,19,22.0625,2643,202,0,NA
"153",153,"28-7-21 14:00",4,15.875,19,22.25,2643,202,0,NA
"154",154,"28-7-21 14:15",4,15.875,19,22.0625,2643,202,0,NA
"155",155,"28-7-21 14:30",4,15.875,19,22.0625,2643,202,0,NA
"156",156,"28-7-21 14:45",4,15.875,19,22.125,2643,202,0,NA
"157",157,"28-7-21 15:00",4,15.875,19,22.1875,2643,202,0,NA
"158",158,"28-7-21 15:15",4,15.875,19,22.1875,2643,202,0,NA
"159",159,"28-7-21 15:30",4,15.875,18.6875,21,2643,202,0,NA
"160",160,"28-7-21 15:45",4,15.875,18,19.5,2642,202,0,NA
"161",161,"28-7-21 16:00",4,15.875,18.125,20.375,2642,202,0,NA
"162",162,"28-7-21 16:15",4,15.875,18.375,21.125,2641,202,0,NA
"163",163,"28-7-21 16:30",4,15.875,18.375,20.75,2641,202,0,NA
"164",164,"28-7-21 16:45",4,15.875,18.125,20.1875,2641,202,0,NA
"165",165,"28-7-21 17:00",4,15.875,18,19.8125,2640,202,0,NA
"166",166,"28-7-21 17:15",4,15.875,17.875,19.6875,2640,202,0,NA
"167",167,"28-7-21 17:30",4,15.875,17.75,19.375,2640,202,0,NA
"168",168,"28-7-21 17:45",4,15.875,17.625,19.125,2640,202,0,NA
"169",169,"28-7-21 18:00",4,15.875,17.5,19,2640,202,0,NA
"170",170,"28-7-21 18:15",4,15.875,17.5,19,2640,202,0,NA
"171",171,"28-7-21 18:30",4,15.875,17.375,18.75,2640,202,0,NA
"172",172,"28-7-21 18:45",4,15.8125,17.25,18.5625,2640,202,0,NA
"173",173,"28-7-21 19:00",4,15.8125,17.25,18.5,2640,202,0,NA
"174",174,"28-7-21 19:15",4,15.75,17.125,18.375,2640,202,0,NA
"175",175,"28-7-21 19:30",4,15.75,17.125,18.3125,2639,202,0,NA
"176",176,"28-7-21 19:45",4,15.75,17,18.125,2639,202,0,NA
"177",177,"28-7-21 20:00",4,15.75,16.9375,17.875,2639,202,0,NA
"178",178,"28-7-21 20:15",4,15.75,16.875,17.75,2639,202,0,NA
"179",179,"28-7-21 20:30",4,15.75,16.75,17.6875,2639,202,0,NA
"180",180,"28-7-21 20:45",4,15.6875,16.8125,17.875,2639,202,0,NA
"181",181,"28-7-21 21:00",4,15.6875,16.8125,17.9375,2639,202,0,NA
"182",182,"28-7-21 21:15",4,15.625,16.875,18.375,2639,202,0,NA
"183",183,"28-7-21 21:30",4,15.625,17.125,18.875,2639,202,0,NA
"184",184,"28-7-21 21:45",4,15.625,17.375,19.625,2639,202,0,NA
"185",185,"28-7-21 22:00",4,15.625,17.625,20.375,2639,202,0,NA
"186",186,"28-7-21 22:15",4,15.625,17.875,21,2639,202,0,NA
"187",187,"28-7-21 22:30",4,15.5625,18,21.0625,2639,202,0,NA
"188",188,"28-7-21 22:45",4,15.5625,18,21,2639,202,0,NA
"189",189,"28-7-21 23:00",4,15.5625,18,21.125,2639,202,0,NA
"190",190,"28-7-21 23:15",4,15.5,18.125,21.3125,2639,202,0,NA
"191",191,"28-7-21 23:30",4,15.5,18.125,21.375,2639,202,0,NA
"192",192,"28-7-21 23:45",4,15.5,18.125,21.25,2639,202,0,NA
"193",193,"29-7-21 0:00",4,15.5,18.125,21.375,2639,202,0,NA
"194",194,"29-7-21 0:15",4,15.5,18.125,21.5,2639,202,0,NA
"195",195,"29-7-21 0:30",4,15.5,18.125,21.5,2639,202,0,NA
"196",196,"29-7-21 0:45",4,15.5,18.25,21.625,2639,202,0,NA
"197",197,"29-7-21 1:00",4,15.5,18.1875,21.5625,2639,202,0,NA
"198",198,"29-7-21 1:15",4,15.5,18.1875,21.5625,2639,202,0,NA
"199",199,"29-7-21 1:30",4,15.5,18.25,21.875,2638,202,0,NA
"200",200,"29-7-21 1:45",4,15.5,18.25,21.875,2638,202,0,NA
"201",201,"29-7-21 2:00",4,15.5,18.3125,22,2638,202,0,NA
"202",202,"29-7-21 2:15",4,15.5,18.25,21.875,2638,202,0,NA
"203",203,"29-7-21 2:30",4,15.5,18.25,21.875,2638,202,0,NA
"204",204,"29-7-21 2:45",4,15.5,18.25,22,2638,202,0,NA
"205",205,"29-7-21 3:00",4,15.5,18.375,22.0625,2638,202,0,NA
"206",206,"29-7-21 3:15",4,15.4375,18.25,21.875,2638,202,0,NA
"207",207,"29-7-21 3:30",4,15.4375,18.25,22,2638,202,0,NA
"208",208,"29-7-21 3:45",4,15.4375,18.25,21.875,2638,202,0,NA
"209",209,"29-7-21 4:00",4,15.4375,18.25,21.875,2638,202,0,NA
"210",210,"29-7-21 4:15",4,15.4375,18.25,21.875,2638,202,0,NA
"211",211,"29-7-21 4:30",4,15.4375,18.25,21.625,2638,202,0,NA
"212",212,"29-7-21 4:45",4,15.4375,18.25,21.75,2638,202,0,NA
"213",213,"29-7-21 5:00",4,15.375,18.375,22.25,2637,202,0,NA
"214",214,"29-7-21 5:15",4,15.375,18.1875,21.3125,2637,202,0,NA
"215",215,"29-7-21 5:30",4,15.375,17.875,20.625,2637,202,0,NA
"216",216,"29-7-21 5:45",4,15.375,17.8125,20.625,2637,202,0,NA
"217",217,"29-7-21 6:00",4,15.375,17.875,20.625,2637,202,0,NA
"218",218,"29-7-21 6:15",4,15.375,17.875,20.75,2637,202,0,NA
"219",219,"29-7-21 6:30",4,15.375,17.875,20.75,2637,202,0,NA
"220",220,"29-7-21 6:45",4,15.375,18,21.125,2637,202,0,NA
"221",221,"29-7-21 7:00",4,15.375,18.25,21.9375,2637,202,0,NA
"222",222,"29-7-21 7:15",4,15.375,18.5,22.5,2637,202,0,NA
"223",223,"29-7-21 7:30",4,15.375,18.6875,22.75,2637,202,0,NA
"224",224,"29-7-21 7:45",4,15.375,18.8125,23,2637,202,0,NA
"225",225,"29-7-21 8:00",4,15.375,18.875,23,2637,202,0,NA
"226",226,"29-7-21 8:15",4,15.4375,19,23.375,2637,202,0,NA
"227",227,"29-7-21 8:30",4,15.4375,19.125,23.625,2637,202,0,NA
"228",228,"29-7-21 8:45",4,15.4375,19.125,23.5,2636,202,0,NA
"229",229,"29-7-21 9:00",4,15.5,19.25,23.75,2636,202,0,NA
"230",230,"29-7-21 9:15",4,15.5,19.25,23.75,2636,202,0,NA
"231",231,"29-7-21 9:30",4,15.5,19.375,23.8125,2637,202,0,NA
"232",232,"29-7-21 9:45",4,15.5,19.375,23.5625,2636,202,0,NA
"233",233,"29-7-21 10:00",4,15.5,19.5,23.75,2637,202,0,NA
"234",234,"29-7-21 10:15",4,15.5625,19.375,23.4375,2636,202,0,NA
"235",235,"29-7-21 10:30",4,15.5625,19.125,22.9375,2636,202,0,NA
"236",236,"29-7-21 10:45",4,15.625,19,22.5,2636,202,0,NA
"237",237,"29-7-21 11:00",4,15.625,19.125,22.875,2636,202,0,NA
"238",238,"29-7-21 11:15",4,15.625,19.375,23.4375,2636,202,0,NA
"239",239,"29-7-21 11:30",4,15.625,19.3125,23.1875,2636,202,0,NA
"240",240,"29-7-21 11:45",4,15.6875,19.25,23.0625,2636,202,0,NA
"241",241,"29-7-21 12:00",4,15.75,19.25,22.875,2636,202,0,NA
"242",242,"29-7-21 12:15",4,15.75,19.1875,22.875,2636,202,0,NA
"243",243,"29-7-21 12:30",4,15.75,19.25,23,2636,202,0,NA
"244",244,"29-7-21 12:45",4,15.75,19.25,22.875,2636,202,0,NA
"245",245,"29-7-21 13:00",4,15.75,19.25,22.8125,2636,202,0,NA
"246",246,"29-7-21 13:15",4,15.8125,19.25,22.9375,2636,202,0,NA
"247",247,"29-7-21 13:30",4,15.8125,19.375,23,2636,202,0,NA
"248",248,"29-7-21 13:45",4,15.875,19.375,23.0625,2636,202,0,NA
"249",249,"29-7-21 14:00",4,15.875,19.375,23,2636,202,0,NA
"250",250,"29-7-21 14:15",4,15.875,19.375,22.9375,2636,202,0,NA
